funding,fvalue,shares,buyout
0,13000000,1300000,0
0,13125000,1050000,1
1,13125000,1500000,0
1,13168000,1646000,0
1,13200000,1200000,0
1,13330000,1333000,0
1,13500000,1500000,0
0,13500000,1500000,1
0,13500000,1500000,0
0,13500000,1200000,0
1,13500000,1500000,0
0,13500000,1350000,0
0,13965000,1330000,0
0,14000000,2000000,0
1,14000000,1750000,0
0,14100000,2350000,0
1,14150000,1415000,1
0,14400000,1600000,0
1,14400000,1800000,1
1,14400000,900000,0
1,14450000,1700000,0
1,14500000,2000000,0
1,14700000,2100000,0
1,15000000,1500000,0
1,15000000,1250000,0
0,15000000,1500000,0
0,15000000,1000000,0
0,15000000,1875000,0
1,15000000,1500000,0
1,15000000,1500000,0
0,15000000,2000000,0
1,15000000,1250000,0
1,15187500,1350000,0
0,15187500,1350000,0
0,15400000,1100000,0
0,15400000,2200000,0
1,15600000,1200000,0
1,15750000,1750000,0
1,16000000,2000000,0
1,16000000,2000000,0
1,16000000,1600000,0
0,16000000,2000000,0
1,16055000,1690000,0
0,16095000,1073000,0
1,16100000,2300000,0
0,16100000,1400000,0
1,16200000,1800000,0
1,16250000,2500000,0
1,16312500,1450000,0
1,16500000,3300000,0
0,16575000,1950000,0
1,16625000,1750000,0
0,16800000,1200000,0
1,16900000,1300000,0
0,17000000,2000000,0
0,17062500,1750000,0
1,17100000,1800000,0
1,17500000,1750000,0
1,17500000,2500000,0
1,17500000,2500000,0
0,17500000,2500000,0
0,17500000,2500000,0
0,17500000,1400000,0
0,18000000,2000000,0
1,18000000,1500000,0
1,18000000,1800000,0
1,18000000,1800000,0
0,18000000,2000000,0
1,18000000,2250000,0
0,18000000,3600000,0
1,18050000,1900000,0
1,18700000,1700000,0
0,18750000,1500000,0
0,18900000,1800000,0
0,18900000,2100000,0
0,18900000,1400000,0
0,19000000,2000000,0
1,19200000,1600000,0
1,19200000,2400000,0
0,19200000,1600000,0
1,19250000,1750000,0
1,19350000,1800000,0
1,19500000,1300000,0
1,19500000,1500000,0
1,19500000,1500000,0
1,19550000,1700000,0
0,19575000,1350000,0
1,19800000,1800000,0
1,20000000,2000000,1
1,20000000,2500000,0
0,20000000,2000000,0
0,20000000,2000000,1
0,20125000,1750000,0
1,20312500,1625000,0
1,20400000,1700000,0
1,20700000,1800000,0
1,21000000,3000000,0
0,21000000,1750000,0
1,21000000,2100000,0
1,21000000,2100000,1
0,21156000,1763000,0
1,21250000,2500000,0
1,21292500,1670000,0
0,21600000,2700000,0
0,21750000,2175000,0
1,22000000,2000000,0
1,22000000,2000000,0
0,22050000,2100000,0
1,22100000,1700000,0
0,22380000,1865000,0
1,22400000,1600000,0
0,22400000,1600000,0
1,22500000,1875000,0
1,22800000,1900000,0
1,22800000,1900000,0
0,22883080,2080280,1
0,22950000,1700000,0
0,23000000,2000000,0
1,23000000,2000000,0
0,23100000,2100000,0
1,23125000,2500000,0
0,23200000,2900000,0
0,23400000,2600000,0
0,23625000,1750000,0
1,24000000,2000000,0
0,24000000,2000000,0
0,24000000,2000000,0
1,24000000,3000000,0
1,24050000,1850000,0
0,24300000,2700000,0
1,25000000,2500000,0
1,25000000,2500000,0
1,25200000,2100000,0
0,25200000,1800000,0
0,25300000,2300000,1
1,25500000,1700000,1
0,25500000,3000000,0
1,25550000,2800000,0
1,26000000,3250000,0
1,26000000,2000000,0
1,26000000,2000000,0
1,26250000,1875000,0
1,26250000,2500000,0
1,26302500,2505000,0
0,26400000,2400000,0
1,26450000,2300000,0
0,26650000,2050000,0
0,26775000,4200000,0
1,27000000,3000000,0
0,27000000,2000000,0
1,27000000,1800000,0
0,27200000,3200000,0
0,27300000,2100000,0
0,27300000,2100000,0
0,27500000,2500000,0
1,27600000,2300000,0
0,27700000,2770000,0
0,27775000,2525000,1
0,27840000,2320000,0
1,27900000,1550000,0
1,27975000,1865000,0
1,28000000,2000000,0
1,28035000,2670000,0
1,28050000,3300000,0
1,28500000,2850000,0
0,28600000,2200000,0
0,28750000,2875000,0
0,28800000,1800000,0
0,29037500,2525000,1
0,29050000,2075000,0
1,29250000,2250000,0
0,29700000,3300000,0
1,29700000,2700000,0
1,29750000,3500000,0
1,29750000,3500000,0
1,30000000,2500000,0
1,30000000,2000000,1
1,30000000,3000000,0
1,30000000,2500000,0
1,30000000,1200000,0
1,30000000,2000000,0
1,30000000,2500000,0
1,30000000,3000000,0
1,30000000,3000000,0
0,30000000,3000000,0
1,30250000,2750000,0
0,30367596,2169114,1
1,30450000,2100000,0
0,30800000,2800000,0
1,30800000,2800000,0
1,30800000,2200000,0
1,30816000,2568000,0
0,31000000,3100000,0
1,31200000,2600000,0
1,31200000,1950000,1
1,31200000,2600000,1
1,31200000,2600000,0
1,31250000,2500000,0
0,31800000,2650000,0
1,31830000,2122000,1
1,32000000,2000000,0
0,32200000,2300000,0
0,32500000,5000000,0
1,32500000,2500000,0
0,32500000,2500000,0
1,32500000,2500000,0
0,32550000,2100000,1
1,33000000,3000000,0
1,33350000,2300000,0
1,33400000,3340000,0
0,33500000,3350000,1
1,33600000,2100000,0
0,33600000,2800000,0
1,33800000,2600000,0
0,34500000,3000000,0
0,35000000,5000000,0
0,35000000,2500000,0
0,35100000,2700000,0
0,35100000,2700000,0
1,35100000,2700000,0
0,35200000,2200000,0
1,35200000,2200000,0
0,35680000,1784000,1
1,35829024,3257184,0
1,36000000,2000000,0
1,36000000,2400000,0
1,36000000,3000000,0
0,36800000,2300000,0
1,37300000,1865000,0
1,37400000,2200000,0
1,37500000,2500000,0
1,37500000,2500000,0
1,37500000,2500000,0
1,37600000,2350000,0
0,37800000,3150000,1
0,38250000,2550000,0
1,38400000,2400000,0
1,39000000,3000000,0
1,39000000,2000000,0
0,39000000,3000000,0
0,39875000,2750000,0
0,39900000,2850000,0
1,40000000,4000000,0
1,40500000,2700000,1
0,40500000,2700000,1
0,40500000,2250000,0
0,40833310,2333332,0
1,41223725,3297898,1
0,41250000,3750000,0
0,41250534,2426502,0
1,42000000,3500000,0
0,42000000,2800000,0
0,42000000,3000000,0
1,42000000,3000000,0
1,42000000,4000000,0
0,42000000,3000000,0
0,42205000,3670000,0
1,43500000,3000000,0
0,44395000,3415000,1
0,44500000,4450000,0
1,45000000,3000000,0
1,45500000,3500000,0
0,45750000,3000000,0
0,47125000,3250000,0
0,48000000,3000000,1
1,48000000,4000000,0
0,48750000,3250000,0
1,48875000,5750000,0
1,49000000,3500000,1
1,49639500,3677000,0
0,50000000,5000000,0
0,51300000,2850000,0
1,52000000,4000000,0
0,52200000,3600000,0
1,52500000,3750000,0
1,52500000,3750000,0
1,52500000,3500000,0
1,52500000,3500000,0
0,54000000,9000000,0
1,54000000,3000000,1
1,54000000,3000000,0
1,54250000,3500000,1
0,55000000,2500000,0
0,55400000,5540000,0
1,55500000,3000000,0
1,55500000,3700000,1
0,57100000,2855000,0
1,57600000,2880000,0
1,58100000,4150000,0
1,59400000,3300000,0
0,59400000,3600000,1
1,61200000,3600000,0
1,63000000,4500000,1
0,66000000,4400000,1
0,66000000,4000000,0
0,67200000,4800000,0
0,69750000,4500000,0
1,72187500,4125000,1
0,72500000,5000000,0
1,75000000,5000000,0
1,75000000,5000000,0
0,79000000,4000000,0
0,80345500,4343000,0
1,80848420,4042421,1
0,82500000,5500000,0
0,83600000,4400000,0
0,86593750,4075000,0
0,90200000,8200000,0
0,92429000,5437000,0
0,95000000,5000000,0
0,104400000,5800000,0
0,104400000,5800000,0
0,108199996,5620779,0
0,111000000,5550000,0
0,114000000,6000000,0
0,117000000,6000000,0
0,119625000,5500000,0
1,120000000,7500000,0
0,121900000,5300000,0
0,128000000,6400000,0
0,129800000,5900000,0
0,143242125,11018625,1
0,159500000,7250000,0
0,165000000,11000000,0
0,234600000,9200000,0
